Date,SPY
2019-08-15,105364.85837659224
2019-08-16,106919.48847043174
2019-08-19,108207.62801888282
2019-08-20,107378.50611178137
2019-08-21,108252.06598807636
2019-08-22,108218.70943327312
2019-08-23,105438.87174230043
2019-08-26,106604.86615105301
2019-08-27,106186.58019502989
2019-08-28,106934.25121054857
2019-08-29,108300.14784578566
2019-08-30,108252.06598807637
2019-09-03,107619.07762824112
2019-09-04,108840.5789415073
2019-09-05,110239.79469433684
2019-09-06,110324.93939071638
2019-09-09,110380.4338161597
2019-09-10,110354.53974537156
2019-09-11,111139.28607863076
2019-09-12,111524.25291706143
2019-09-13,111450.18963507221
2019-09-16,111105.96696103831
2019-09-17,111387.28264189484
2019-09-18,111453.89591893923
2019-09-19,111446.47087213493
2019-09-20,110919.92898161194
2019-09-23,110893.89764105093
2019-09-24,110023.69463465571
2019-09-25,110674.5031068213
2019-09-26,110443.95228377983
2019-09-27,109848.96269288434
2019-09-30,110358.44569436279
2019-10-01,109045.69741936025
2019-10-02,107119.47805040811
2019-10-03,107997.0811454671
2019-10-04,109458.5175426098
2019-10-07,108986.23464957449
2019-10-08,107294.20999217953
2019-10-09,108313.15103699594
2019-10-10,109045.69741936028
2019-10-11,110176.20135229526
2019-10-14,110053.51961257559
2019-10-15,111143.05475784911
2019-10-16,110964.5541368594
2019-10-17,111291.81775441083
2019-10-18,110804.65980962635
2019-10-21,111555.8000066771
2019-10-22,111191.3861969636
2019-10-23,111514.893614367
2019-10-24,111697.12547736427
2019-10-25,112154.52083958022
2019-10-28,112786.68558077833
2019-10-29,112753.20423527251
2019-10-30,113099.06166751038
2019-10-31,112797.85434866048
2019-11-01,113842.83921310813
2019-11-04,114300.22209625381
2019-11-05,114173.75919824558
2019-11-06,114199.75310159578
2019-11-07,114601.41693603348
2019-11-08,114883.99300298617
2019-11-11,114664.63590596731
2019-11-12,114906.33053875041
2019-11-13,114943.50568905302
2019-11-14,115110.86250030115
2019-11-15,115943.81548197221
2019-11-18,116029.3470295298
2019-11-19,115995.90312123476
2019-11-20,115564.52662050955
2019-11-21,115378.62591085603
2019-11-22,115635.17063724775
2019-11-25,116531.3675469932
2019-11-26,116795.39971554051
2019-11-27,117316.01404769032
2019-11-29,116880.94374216835
2019-12-02,115888.04651698323
2019-12-03,115110.86250030123
2019-12-04,115821.10878411209
2019-12-05,116029.34702952985
2019-12-06,117089.16950851589
2019-12-09,116721.03693586508
2019-12-10,116590.88023306007
2019-12-11,116921.85013447853
2019-12-12,117929.60993234259
2019-12-13,118000.25394908075
2019-12-16,118810.86939498757
2019-12-17,118836.95065182963
2019-12-18,118844.36321956366
2019-12-19,119331.52116434816
2019-12-20,119854.70618497138
2019-12-23,120037.7866247463
2019-12-24,120041.5303458241
2019-12-26,120680.55857566487
2019-12-27,120650.63376518297
2019-12-30,119985.46188314886
2019-12-31,120276.94800626676
2020-01-02,121401.78644130402
2020-01-03,120482.47829343828
2020-01-06,120942.16980458195
2020-01-07,120602.09018187415
2020-01-08,121244.82469558195
2020-01-09,122066.97080240842
2020-01-10,121715.6724955375
2020-01-13,122552.76852853467
2020-01-14,122365.89445140092
2020-01-15,122642.45560648861
2020-01-16,123662.61960019045
2020-01-17,124047.54900141036
2020-01-21,123804.60646160135
2020-01-22,123819.59382498282
2020-01-23,123961.63060267475
2020-01-24,122859.19209875306
2020-01-27,120889.79514670357
2020-01-28,122156.65788036247
2020-01-29,122055.7521182454
2020-01-30,122451.85028734739
2020-01-31,120228.42938109858
2020-02-03,121121.51900234947
2020-02-04,122967.57282395555
2020-02-05,124387.5787078372
2020-02-06,124806.15168247628
2020-02-07,124140.96732137194
2020-02-10,125067.71299511228
2020-02-11,125284.47444551717
2020-02-12,126091.64566803242
2020-02-13,125957.10881156636
2020-02-14,126158.93281487083
2020-02-18,125833.80311833374
2020-02-19,126435.44405367748
2020-02-20,125916.00275413206
2020-02-21,124619.29008441282
2020-02-24,120486.19705637573
2020-02-25,116835.25786594916
2020-02-26,116405.50364435768
2020-02-27,111177.53442897604
2020-02-28,110710.39291288756
2020-03-02,115504.91410188095
2020-03-03,112197.71090174814
2020-03-04,116913.7387388102
2020-03-05,113027.29453444917
2020-03-06,111158.84078172757
2020-03-09,102477.95026279471
2020-03-10,107780.65662995959
2020-03-11,102526.51880424413
2020-03-12,92717.08356640699
2020-03-13,100643.12136488693
2020-03-16,89630.36681915149
2020-03-17,94469.71282851647
2020-03-18,89686.43528182675
2020-03-19,89877.00940329242
2020-03-20,86003.81797154681
2020-03-23,83804.86852207656
2020-03-24,91397.85241440473
2020-03-25,92766.09511485058
2020-03-26,98182.67299813202
2020-03-27,95258.24655959939
2020-03-30,98351.85799317317
2020-03-31,96885.86049585069
2020-04-01,92525.52359839086
2020-04-02,94660.59892673859
2020-04-03,93292.3499867576
2020-04-06,99558.45929654966
2020-04-07,99659.92661682844
2020-04-08,103005.36568823588
2020-04-09,104572.85546397766
2020-04-13,103618.07555889973
2020-04-14,106674.07507471183
2020-04-15,104407.47034583053
2020-04-16,104911.14434010327
2020-04-17,107745.36581926621
2020-04-20,105847.07460955449
2020-04-21,102633.2522921724
2020-04-22,104911.14434010329
2020-04-23,104903.59450259639
2020-04-24,106365.85451837619
2020-04-27,107899.48233696922
2020-04-28,107403.31450345748
2020-04-29,110214.96134452127
2020-04-30,109188.76995988419
2020-05-01,106298.18052035975
2020-05-04,106591.40123424369
2020-05-05,107576.21202190078
